x,elevation
17550,254.363749
17600,254.653436
17650,254.943122
17700,255.232809
17750,255.522496
17800,255.812182
17850,256.101869
17900,256.391555
17950,256.681242
18000,256.970929
18050,257.260615
18100,257.550302
18150,257.839989
18200,257.735612
18250,257.612709
18300,257.489805
18350,257.366901
18400,257.243998
18450,257.121094
18500,256.99819
18550,256.875287
18600,256.752383
18650,256.629479
18700,256.506576
18750,256.383672
18800,256.45147
18850,256.765649
18900,257.079827
18950,257.394006
19000,257.708184
19050,258.022363
19100,258.336542
19150,258.65072
19200,258.964899
19250,259.279077
19300,259.593256
19350,259.907435
19400,260.221613
19450,260.860091
19500,261.527722
19550,262.195354
19600,262.862986
19650,263.530617
19700,264.198249
19750,264.865881
19800,265.533512
19850,266.201144
19900,266.868776
19950,267.536407
20000,268.204039
20050,268.556552
20100,268.433871
20150,268.311189
20200,268.188507
20250,268.065825
20300,267.943143
20350,267.820462
20400,267.69778
20450,267.575098
20500,267.452416
20550,267.329734
20600,267.207053
20650,267.084371
20700,267.119329
20750,267.175797
20800,267.232265
20850,267.288733
20900,267.345201
20950,267.401668
21000,267.458136
21050,267.514604
21100,267.571072
21150,267.62754
21200,267.684008
21250,267.740476
21300,267.733882
21350,267.615734
21400,267.497587
21450,267.379439
21500,267.261291
21550,267.143144
21600,267.024996
21650,266.906849
21700,266.788701
21750,266.670553
21800,266.552406
21850,266.434258
21900,266.316111
21950,266.391069
22000,266.502167
22050,266.613264
22100,266.724362
22150,266.83546
22200,266.946557
22250,267.057655
22300,267.168753
22350,267.27985
22400,267.390948
22450,267.502046
22500,267.613143
22550,267.853271
22600,268.363145
22650,268.873018
22700,269.382891
22750,269.892764
22800,270.402637
22850,270.912511
22900,271.422384
22950,271.932257
23000,272.44213
23050,272.952004
23100,273.461877
23150,273.97175
23200,274.855318
23250,275.829537
23300,276.803756
23350,277.777975
23400,278.752195
23450,279.726414
23500,280.700633
23550,281.674852
23600,282.649071
23650,283.62329
23700,284.59751
23750,285.571729
23800,286.138254
23850,285.686906
23900,285.235559
23950,284.784211
24000,284.332863
24050,283.881515
24100,283.430167
24150,282.978819
24200,282.527471
24250,282.076123
24300,281.624775
24350,281.173427
24400,280.722079
24450,280.141763
24500,279.52231
24550,278.902858
24600,278.283406
24650,277.663954
24700,277.044502
24750,276.42505
24800,275.805597
24850,275.186145
24900,274.566693
24950,273.947241
25000,273.327789
25050,272.786583
25100,272.482124
25150,272.177665
25200,271.873205
25250,271.568746
25300,271.264287
25350,270.959827
25400,270.655368
25450,270.350909
25500,270.046449
25550,269.74199
25600,269.437531
25650,269.133071
25700,269.11604
25750,269.205525
25800,269.29501
25850,269.384494
25900,269.473979
25950,269.563463
26000,269.652948
26050,269.742433
26100,269.831917
26150,269.921402
26200,270.010887
26250,270.100371
26300,270.268294
26350,270.72983
26400,271.191365
26450,271.6529
26500,272.114435
26550,272.575971
26600,273.037506
26650,273.499041
26700,273.960576
26750,274.422111
26800,274.883647
26850,275.345182
26900,275.806717
26950,276.185943
27000,276.528541
27050,276.871139
27100,277.213737
27150,277.556334
27200,277.898932
27250,278.24153
27300,278.584128
27350,278.926726
27400,279.269323
27450,279.611921
27500,279.954519
27550,280.225049
27600,280.151663
27650,280.078277
27700,280.004891
27750,279.931505
27800,279.85812
27850,279.784734
27900,279.711348
27950,279.637962
28000,279.564576
28050,279.491191
28100,279.417805
28150,279.344419
28200,279.166172
28250,278.932561
28300,278.69895
28350,278.465339
28400,278.231728
28450,277.998116
28500,277.764505
28550,277.530894
28600,277.297283
28650,277.063671
28700,276.83006
28750,276.596449
28800,276.399453
28850,276.435732
28900,276.47201
28950,276.508289
29000,276.544567
29050,276.580845
29100,276.617124
29150,276.653402
29200,276.689681
29250,276.725959
29300,276.762238
29350,276.798516
29400,276.834795
29450,276.926034
29500,277.051407
29550,277.17678
29600,277.302153
29650,277.427526
29700,277.552899
29750,277.678272
29800,277.803645
29850,277.929018
29900,278.054391
29950,278.179764
30000,278.305138
30050,278.462015
30100,278.908568
30150,279.35512
30200,279.801673
30250,280.248226
30300,280.694779
30350,281.141332
30400,281.587885
30450,282.034438
30500,282.480991
30550,282.927543
30600,283.374096
30650,283.820649
30700,284.49939
30750,285.346752
30800,286.194113
30850,287.041475
30900,287.888836
30950,288.736198
31000,289.583559
31050,290.430921
31100,291.278282
31150,292.125644
31200,292.973005
31250,293.820367
31300,294.602323
31350,294.368763
31400,294.135202
31450,293.901642
31500,293.668082
31550,293.434522
31600,293.200962
31650,292.967402
31700,292.733842
31750,292.500282
31800,292.266722
31850,292.033162
31900,291.799602
31950,291.654762
32000,291.584977
32050,291.515191
32100,291.445406
32150,291.375621
32200,291.305836
32250,291.23605
32300,291.166265
32350,291.09648
32400,291.026695
32450,290.95691
32500,290.887124
32550,290.844642
32600,291.965594
32650,293.086545
32700,294.207497
32750,295.328449
32800,296.449401
32850,297.570352
32900,298.691304
32950,299.812256
33000,300.933208
33050,302.054159
33100,303.175111
33150,304.296063
33200,304.632786
33250,304.198162
33300,303.763537
33350,303.328912
33400,302.894287
33450,302.459662
33500,302.025037
33550,301.590412
33600,301.155787
33650,300.721162
33700,300.286537
33750,299.851912
33800,299.417287
33850,300.054841
33900,300.708336
33950,301.361831
34000,302.015326
34050,302.668821
34100,303.322317
34150,303.975812
34200,304.629307
34250,305.282802
34300,305.936298
34350,306.589793
34400,307.243288
34450,307.449552
34500,307.144476
34550,306.8394
34600,306.534324
34650,306.229248
34700,305.924172
34750,305.619096
34800,305.31402
34850,305.008943
34900,304.703867
34950,304.398791
35000,304.093715
35050,303.788639
35100,303.339093
35150,302.881584
35200,302.424076
35250,301.966568
35300,301.50906
35350,301.051552
35400,300.594044
35450,300.136536
35500,299.679028
35550,299.22152
35600,298.764012
35650,298.306504
35700,298.103221
35750,298.23834
35800,298.373459
35850,298.508579
35900,298.643698
35950,298.778817
36000,298.913936
36050,299.049055
36100,299.184174
36150,299.319293
36200,299.454413
36250,299.589532
36300,299.724651
36350,299.410734
36400,299.05251
36450,298.694287
36500,298.336063
36550,297.977839
36600,297.619615
36650,297.261392
36700,296.903168
36750,296.544944
36800,296.18672
36850,295.828497
36900,295.470273
36950,295.531373
37000,296.244491
37050,296.957608
37100,297.670726
37150,298.383843
37200,299.096961
37250,299.810078
37300,300.523196
37350,301.236313
37400,301.949431
37450,302.662548
37500,303.375666
37550,304.088783
37600,305.245754
37650,306.467521
37700,307.689288
37750,308.911055
37800,310.132822
37850,311.354589
37900,312.576356
37950,313.798122
38000,315.019889
38050,316.241656
38100,317.463423
38150,318.68519
38200,319.067591
38250,317.917067
38300,316.766543
38350,315.616019
38400,314.465495
38450,313.314971
38500,312.164447
38550,311.013923
38600,309.863399
38650,308.712875
38700,307.562351
38750,306.411827
38800,305.261303
38850,305.017948
38900,304.953814
38950,304.889679
39000,304.825545
39050,304.76141
39100,304.697276
39150,304.633141
39200,304.569006
39250,304.504872
39300,304.440737
39350,304.376603
39400,304.312468
39450,304.267355
39500,304.263366
39550,304.259378
39600,304.25539
39650,304.251402
39700,304.247414
39750,304.243426
39800,304.239437
39850,304.235449
39900,304.231461
39950,304.227473
40000,304.223485
40050,304.219497
40100,304.967738
40150,305.907041
40200,306.846345
40250,307.785648
40300,308.724952
40350,309.664255
40400,310.603558
40450,311.542862
40500,312.482165
40550,313.421468
40600,314.360772
40650,315.300075
40700,315.999626
40750,316.078557
40800,316.157489
40850,316.236421
40900,316.315352
40950,316.394284
41000,316.473216
41050,316.552147
41100,316.631079
41150,316.710011
41200,316.788942
41250,316.867874
41300,316.946806
41350,317.08585
41400,317.243892
41450,317.401933
41500,317.559974
41550,317.718015
41600,317.876057
41650,318.034098
41700,318.192139
41750,318.35018
41800,318.508222
41850,318.666263
41900,318.824304
41950,318.826755
42000,318.339414
42050,317.852073
42100,317.364732
42150,316.87739
42200,316.390049
42250,315.902708
42300,315.415367
42350,314.928026
42400,314.440685
42450,313.953343
42500,313.466002
42550,312.978661
42600,313.130098
42650,313.527133
42700,313.924168
42750,314.321203
42800,314.718238
42850,315.115273
42900,315.512308
42950,315.909343
43000,316.306378
43050,316.703413
43100,317.100448
43150,317.497483
43200,317.467836
43250,315.768179
43300,314.068522
43350,312.368865
43400,310.669208
43450,308.969551
43500,307.269894
43550,305.570237
43600,303.87058
43650,302.170923
43700,300.471266
43750,298.771609
43800,297.071952
43850,295.754296
43900,294.612538
43950,293.47078
44000,292.329022
44050,291.187264
44100,290.045506
44150,288.903749
44200,287.761991
44250,286.620233
44300,285.478475
44350,284.336717
44400,283.194959
44450,282.425039
44500,283.52431
44550,284.62358
44600,285.722851
44650,286.822121
44700,287.921392
44750,289.020662
44800,290.119933
44850,291.219203
44900,292.318473
44950,293.417744
45000,294.517014
45050,295.616285
45100,296.257017
45150,296.647719
45200,297.03842
45250,297.429122
45300,297.819824
45350,298.210526
45400,298.601228
45450,298.991929
45500,299.382631
45550,299.773333
45600,300.164035
45650,300.554736
45700,300.951304
45750,301.387714
45800,301.824123
45850,302.260533
45900,302.696942
45950,303.133352
46000,303.569761
46050,304.00617
46100,304.44258
46150,304.878989
46200,305.315399
46250,305.751808
46300,306.188218
46350,306.637543
46400,307.095141
46450,307.552739
46500,308.010338
46550,308.467936
46600,308.925534
46650,309.383132
46700,309.840731
46750,310.298329
46800,310.755927
46850,311.213525
46900,311.671124
46950,312.059888
47000,311.759097
47050,311.458307
47100,311.157516
47150,310.856726
47200,310.555935
47250,310.255145
47300,309.954354
47350,309.653564
47400,309.352773
47450,309.051983
47500,308.751192
47550,308.450401
47600,308.297434
47650,308.255088
47700,308.212742
47750,308.170396
47800,308.12805
47850,308.085704
47900,308.043358
47950,308.001012
48000,307.958666
48050,307.91632
48100,307.873974
48150,307.831628
48200,307.795996
48250,307.879891
48300,307.963786
48350,308.047681
48400,308.131576
48450,308.215471
48500,308.299366
48550,308.38326
48600,308.467155
48650,308.55105
48700,308.634945
48750,308.71884
48800,308.802735
48850,308.856972
48900,308.885369
48950,308.913767
49000,308.942164
49050,308.970561
49100,308.998958
49150,309.027356
49200,309.055753
49250,309.08415
49300,309.112547
49350,309.140945
49400,309.169342
49450,309.200398
49500,309.399181
49550,309.597964
49600,309.796748
49650,309.995531
49700,310.194314
49750,310.393097
49800,310.591881
49850,310.790664
49900,310.989447
49950,311.18823
50000,311.387013
50050,311.585797
50100,311.605242
50150,311.443049
50200,311.280856
50250,311.118664
50300,310.956471
50350,310.794278
50400,310.632086
50450,310.469893
50500,310.3077
50550,310.145507
50600,309.983315
50650,309.821122
50700,309.658929
50750,308.873237
50800,308.073536
50850,307.273835
50900,306.474134
50950,305.674433
51000,304.874731
51050,304.07503
51100,303.275329
51150,302.475628
51200,301.675926
51250,300.876225
51300,300.076524
51350,300.019405
51400,300.836702
51450,301.653998
51500,302.471295
51550,303.288592
51600,304.105889
51650,304.923186
51700,305.740483
51750,306.557779
51800,307.375076
51850,308.192373
51900,309.00967
51950,309.826967
52000,310.650158
52050,311.473722
52100,312.297286
52150,313.120851
52200,313.944415
52250,314.767979
52300,315.591544
52350,316.415108
52400,317.238672
52450,318.062236
52500,318.885801
52550,319.709365
52600,320.36237
52650,320.781435
52700,321.2005
52750,321.619565
52800,322.038629
52850,322.457694
52900,322.876759
52950,323.295824
53000,323.714889
53050,324.133954
53100,324.553019
53150,324.972084
53200,325.391149
53250,325.787121
53300,326.180609
53350,326.574097
53400,326.967585
53450,327.361073
53500,327.754562
53550,328.14805
53600,328.541538
53650,328.935026
53700,329.328514
53750,329.722002
53800,330.11549
53850,330.404165
53900,330.524755
53950,330.645345
54000,330.765936
54050,330.886526
54100,331.007116
54150,331.127706
54200,331.248296
54250,331.368887
54300,331.489477
54350,331.610067
54400,331.730657
54450,331.851247
54500,331.327376
54550,330.703171
54600,330.078965
54650,329.454759
54700,328.830553
54750,328.206348
54800,327.582142
54850,326.957936
54900,326.33373
54950,325.709525
55000,325.085319
55050,324.461113
55100,324.156379
55150,324.454181
55200,324.751983
55250,325.049785
55300,325.347587
55350,325.645389
55400,325.94319
55450,326.240992
55500,326.538794
55550,326.836596
55600,327.134398
55650,327.4322
55700,327.730002
55750,327.715121
55800,327.635154
55850,327.555186
55900,327.475218
55950,327.395251
56000,327.315283
56050,327.235315
56100,327.155347
56150,327.07538
56200,326.995412
56250,326.915444
56300,326.835477
56350,326.82129
56400,326.954264
56450,327.087238
56500,327.220212
56550,327.353186
56600,327.48616
56650,327.619134
56700,327.752108
56750,327.885082
56800,328.018056
56850,328.15103
56900,328.284004
56950,328.416978
57000,328.606882
57050,328.811908
57100,329.016935
57150,329.221961
57200,329.426987
57250,329.632013
57300,329.83704
57350,330.042066
57400,330.247092
57450,330.452118
57500,330.657145
57550,330.862171
57600,331.08216
57650,331.34233
57700,331.602501
57750,331.862671
57800,332.122842
57850,332.383012
57900,332.643183
57950,332.903353
58000,333.163523
58050,333.423694
58100,333.683864
58150,333.944035
58200,334.204205
58250,334.764141
58300,335.422646
58350,336.08115
58400,336.739655
58450,337.39816
58500,338.056665
58550,338.71517
58600,339.373674
58650,340.032179
58700,340.690684
58750,341.349189
58800,342.007693
58850,342.469139
58900,342.284633
58950,342.100128
59000,341.915623
59050,341.731117
59100,341.546612
59150,341.362106
59200,341.177601
59250,340.993096
59300,340.80859
59350,340.624085
59400,340.43958
59450,340.255074
59500,339.886114
59550,339.443617
59600,339.001121
59650,338.558624
59700,338.116128
59750,337.673631
59800,337.231135
59850,336.788638
59900,336.346142
59950,335.903645
60000,335.461149
60050,335.018652
60100,334.441891
60150,333.314989
60200,332.188087
60250,331.061184
60300,329.934282
60350,328.80738
60400,327.680478
60450,326.553575
60500,325.426673
60550,324.299771
60600,323.172869
60650,322.045966
60700,320.919064
60750,321.005168
60800,321.668977
60850,322.332786
60900,322.996596
60950,323.660405
61000,324.324214
61050,324.988024
61100,325.651833
61150,326.315642
61200,326.979451
61250,327.643261
61300,328.30707
61350,328.946242
61400,329.454706
61450,329.96317
61500,330.471635
61550,330.980099
61600,331.488563
61650,331.997027
61700,332.505491
61750,333.013956
61800,333.52242
61850,334.030884
61900,334.539348
61950,335.047812
62000,335.429256
62050,335.73919
62100,336.049125
62150,336.359059
62200,336.668994
62250,336.978928
62300,337.288863
62350,337.598797
62400,337.908732
62450,338.218666
62500,338.528601
62550,338.838535
