x,pressure
10000.0,589729.2127398199
10050.0,585189.2084211415
10100.0,577748.7743351695
10150.0,570211.7354454349
10200.0,562771.3013594629
10250.0,555330.8672734909
10300.0,547890.4331875192
10350.0,540449.9892636458
10400.0,533009.5551776738
10450.0,525472.5261258407
10500.0,518032.09203986876
10550.0,510591.6579538971
10600.0,503151.2140300237
10650.0,495442.17572205886
10700.0,486514.19191661756
10750.0,477489.60330741375
10800.0,468561.61950197245
10850.0,459633.63569653145
10900.0,450705.65189109015
10950.0,441777.66808564914
11000.0,432849.68428020785
11050.0,423825.1055089054
11100.0,414897.12170346413
11150.0,405969.1378980231
11200.0,397041.1540925818
11250.0,388113.1702871405
11300.0,387382.0698768643
11350.0,390964.81299769663
11400.0,394547.5659006275
11450.0,398130.3090214601
11500.0,401713.061924391
11550.0,405295.80504522333
11600.0,408781.9532001942
11650.0,412364.7061031254
11700.0,415947.4492239577
11750.0,419530.2021268886
11800.0,423112.9452477212
11850.0,426695.6981506521
11900.0,428725.56572321896
11950.0,422095.43038626557
12000.0,415465.2950493122
12050.0,408835.1597123588
12100.0,402205.0243754054
12150.0,395574.889038452
12200.0,388848.15873563715
12250.0,382218.02339868376
12300.0,789188.9516089451
12350.0,782558.8162719917
12400.0,775928.6809350383
12450.0,769298.5455980848
12500.0,762571.81529527
12550.0,756344.7092650735
12600.0,750360.2452350688
12650.0,744375.7812050642
12700.0,738391.3270129614
12750.0,732406.8629829567
12800.0,726325.8039870906
12850.0,720341.3497949872
12900.0,714356.8857649826
12950.0,708372.4217349779
13000.0,702387.9675428745
13050.0,696403.5035128698
13100.0,690322.4445170037
13150.0,684222.1490358863
13200.0,677138.7815813184
13250.0,670055.414126751
13300.0,662972.0565100851
13350.0,655888.6890555178
13400.0,648708.7266350884
13450.0,641625.3690184226
13500.0,634542.0015638552
13550.0,627458.6341092879
13600.0,620375.276492622
13650.0,613291.9090380541
13700.0,606111.9466176253
13750.0,599028.5890009594
13800.0,601851.8891150778
13850.0,611634.1350430497
13900.0,621416.3907531202
13950.0,631198.6464631911
14000.0,640884.3072074001
14050.0,650666.5629174706
14100.0,660448.8186275411
14150.0,670231.074337612
14200.0,680013.3300476825
14250.0,689795.585757753
14300.0,699481.2465019625
14350.0,709263.502212033
14400.0,718359.9643357298
14450.0,718032.4798378956
14500.0,717704.995340061
14550.0,717377.5108422264
14600.0,716953.4313785305
14650.0,716625.9468806959
14700.0,716298.4526007631
14750.0,715970.9681029285
14800.0,715643.4836050939
14850.0,715315.9991072593
14900.0,714891.9196435633
14950.0,714564.4351457291
15000.0,714236.9506478945
15050.0,711220.6601742409
15100.0,705990.0351771057
15150.0,700759.4101799704
15200.0,695432.1902169738
15250.0,690201.5652198385
15300.0,684970.9402227033
15350.0,679740.3053876667
15400.0,674509.6803905314
15450.0,669279.0553933962
15500.0,663951.8354303995
15550.0,658721.2104332643
15600.0,653490.5854361292
15650.0,648470.8948829655
15700.0,650193.4154419089
15750.0,651915.9457829514
15800.0,653541.8811581326
15850.0,655264.4017170762
15900.0,656986.9320581187
15950.0,658709.462399161
16000.0,660431.9829581049
16050.0,662154.5132991471
16100.0,663780.4388922297
16150.0,665502.9692332719
16200.0,667225.4995743145
16250.0,668948.0201332581
16300.0,669243.5281488014
16350.0,668175.9887636731
16400.0,667011.8544126832
16450.0,665944.3052454563
16500.0,664876.765860328
16550.0,663809.2264751995
16600.0,662741.6870900712
16650.0,661674.1379228443
16700.0,660510.0035718543
16750.0,659442.464186726
16800.0,658374.9248015977
16850.0,657307.3756343706
16900.0,656239.8362492423
16950.0,652978.4443000463
17000.0,649604.2346855763
17050.0,646326.6298748691
17100.0,643049.025064162
17150.0,639771.4202534548
17200.0,636493.8154427477
17250.0,633216.2106320405
17300.0,629842.0010175705
17350.0,626564.3962068633
17400.0,623286.7913961562
17450.0,620009.186585449
17500.0,616731.5817747419
17550.0,612903.998924028
17600.0,608369.2317569058
17650.0,603931.0693935463
17700.0,599492.8971922852
17750.0,595054.7249910244
17800.0,590616.5626276647
17850.0,586178.3904264035
17900.0,581643.633097183
17950.0,577205.4608959218
18000.0,572767.2886946606
18050.0,568329.1263313015
18100.0,563890.9541300404
18150.0,559452.7819287792
18200.0,558788.9530105576
18250.0,558402.9422168144
18300.0,558016.9412051698
18350.0,557630.9401935252
18400.0,557244.929399782
18450.0,556858.9283881368
18500.0,556376.3324106308
18550.0,555990.3216168876
18600.0,555604.320605243
18650.0,555218.3195935984
18700.0,554832.3087998552
18750.0,554446.3077882106
18800.0,552094.4627253918
18850.0,547415.3406429802
18900.0,542736.2283984699
18950.0,538057.1063160588
19000.0,533377.9940715485
19050.0,528698.8719891374
19100.0,523923.15494086425
19150.0,519244.0426963545
19200.0,514564.92061394284
19250.0,509885.8083694331
19300.0,505206.68628702144
19350.0,500527.5642046098
19400.0,495751.8569942386
19450.0,487882.3133248915
19500.0,479725.9653159572
19550.0,471569.607469121
19600.0,463413.2496222853
19650.0,455256.90161335043
19700.0,447003.94880065334
19750.0,438847.5909538171
19800.0,430691.24294488283
19850.0,422534.8850980466
19900.0,414378.5272512104
19950.0,406222.1792422761
20000.0,397969.22642957844
20050.0,392912.97823480295
20100.0,392524.7958151711
20150.0,392136.6231776378
20200.0,391748.45054010453
20250.0,391360.27790257125
20300.0,390875.5102991765
20350.0,390487.32787954464
20400.0,390099.15524201136
20450.0,389710.9826044781
20500.0,389322.8099669448
20550.0,388934.63732941204
20600.0,388449.8599439187
20650.0,388061.68730638543
20700.0,386129.51389148657
20750.0,383985.7272174197
20800.0,381841.94054335286
20850.0,379698.153869286
20900.0,377457.77222935774
20950.0,793675.3101097331
21000.0,791531.5234356658
21050.0,789387.736761599
21100.0,787243.9500875322
21150.0,785100.1634134654
21200.0,782859.781773537
21250.0,780715.9950994703
21300.0,779192.2381999526
21350.0,778759.7135273786
21400.0,778327.1790727054
21450.0,777894.6544001314
21500.0,777365.5347616954
21550.0,776933.0003070228
21600.0,776500.4756344488
21650.0,776067.9411797756
21700.0,775635.4165072016
21750.0,775202.8918346276
21800.0,774673.762414093
21850.0,774241.237741519
21900.0,773808.7032868464
21950.0,771483.0138158465
22000.0,768801.7825881604
22050.0,766120.561198375
22100.0,763342.7350048273
22150.0,760661.5037771405
22200.0,757980.2823873557
22250.0,755299.051159669
22300.0,752617.8199319828
22350.0,749936.5985421974
22400.0,747158.7723486497
22450.0,744477.5411209629
22500.0,741796.3197311781
22550.0,737845.7040855243
22600.0,731241.3538881473
22650.0,724637.013528671
22700.0,717936.0782033339
22750.0,711331.7378438576
22800.0,704727.3974843813
22850.0,698123.0472870043
22900.0,691518.706927528
22950.0,684914.3665680523
23000.0,678213.4312427146
23050.0,671609.0810453376
23100.0,665004.7406858613
23150.0,658400.4003263856
23200.0,648119.6854022951
23250.0,636947.154878165
23300.0,625678.0293881735
23350.0,614505.4988640434
23400.0,603332.9585020124
23450.0,592160.4279778823
23500.0,580987.8974537522
23550.0,569815.3669296221
23600.0,558546.2414396306
23650.0,547373.7109155005
23700.0,536201.1705534691
23750.0,525028.640029339
23800.0,517866.9628796074
23850.0,520693.8334597138
23900.0,523424.0992918602
23950.0,526250.9698719666
24000.0,529077.8404520736
24050.0,531904.71103218
24100.0,534731.5816122864
24150.0,537558.4521923928
24200.0,540288.7278066378
24250.0,543115.5983867442
24300.0,545942.4689668505
24350.0,548769.3395469569
24400.0,551596.2101270633
24450.0,555684.6583990895
24500.0,560059.3536980642
24550.0,564530.6341808018
24600.0,569001.9146635389
24650.0,573473.1951462765
24700.0,577944.4756290136
