x,elevation
1100.0,83.431541
4150.0,117.018385
4900.0,154.638975
6250.0,190.834448
6800.0,229.137719
12450.0,255.21851
22600.0,268.363145
30850.0,287.041475
37750.0,308.911055
52000.0,310.650158
58250.0,334.764141
